2025-11-12 14:59:09 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:10 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:10 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:11 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:11 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:11 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:12 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:12 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:13 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:13 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:13 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:14 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:14 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:15 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:15 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:15 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:16 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:16 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:17 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:17 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:17 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:18 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:18 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:19 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:19 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:19 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:20 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:20 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:21 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:21 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:21 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:22 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:22 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:23 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:23 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:23 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:24 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:24 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:25 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:25 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:25 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:26 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:26 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:27 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:27 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:27 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:28 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:28 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:28 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:29 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:29 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:30 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:30 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:31 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:31 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:31 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:32 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:32 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:33 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:33 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:33 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:34 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:34 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:35 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:35 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:35 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:36 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:36 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:36 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:37 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:37 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:38 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:38 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:38 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:39 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:39 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:40 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:40 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:40 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:41 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:41 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:42 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:42 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:42 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:43 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:43 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:44 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:44 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:44 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:45 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:45 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:46 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:46 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:47 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:47 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:47 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:48 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:48 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:49 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:49 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:49 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:50 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:50 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:51 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:51 [DEBUG] urllib3.util.retry: Converted retries value: 3 -> Retry(total=3, connect=None, read=None, redirect=None, status=None)
2025-11-12 14:59:51 [DEBUG] urllib3.connectionpool: Starting new HTTPS connection (1): oauth2.googleapis.com:443
2025-11-12 14:59:51 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:51 [DEBUG] urllib3.connectionpool: https://oauth2.googleapis.com:443 "POST /token HTTP/1.1" 200 None
2025-11-12 14:59:51 [DEBUG] urllib3.connectionpool: Starting new HTTPS connection (1): sheets.googleapis.com:443
2025-11-12 14:59:51 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:52 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:52 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:53 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:59:53 [INFO] watchfiles.main: 1 change detected
